TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020
GEO (Labels);;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);486;s;490;s;500;;505;;513;;523;;534;;544;;553;;560
Belgium;488;b;489;;491;;494;;497;;503;;508;;511;;511;;510
Bulgaria;368;;385;;402;;418;;442;;443;;393;;396;;407;;414
Czechia;436;;448;d;450;;459;;485;;502;;522;;540;;554;;565
Denmark;394;;399;;405;;412;;419;;429;;438;;447;;455;;466
Germany (until 1990 former territory of the FRG);534;;539;;543;;547;;548;;555;;561;;567;;574;;580
Estonia;433;;456;;478;;497;;514;;534;;550;;563;;598;;608
Ireland;428;;423;d;427;;431;;436;;439;;444;;445;;454;;458
Greece;469;;470;;469;;471;;474;;479;;487;;493;;504;;514
Spain;476;d;476;d;474;;474;;481;;492;;504;;513;;519;;521
France;540;;542;;544;;549;;556;;563;;568;;569;;571;;567
Croatia;355;;339;;341;;349;;358;;374;;389;;409;;425;;433
Italy;625;;621;;608;;610;;616;;625;;637;;652;;663;;670
Cyprus;545;;549;;553;;565;;575;;595;;609;;629;;645;;645
Latvia;299;;305;;317;;331;;345;;341;;356;;369;;381;;390
Lithuania;570;d;590;;615;;413;;431;;456;;483;;512;;536;;560
Luxembourg;658;b;663;;661;;662;;661;;662;;670;;676;;681;;682
Hungary;299;b;301;;308;;315;;325;;338;;355;;373;;390;;403
Malta;592;;591;;596;;605;;611;;615;;613;;608;;597;;597
Netherlands;470;;472;;471;;472;;477;;481;;487;;494;;499;;503
Austria;537;;542;;546;;547;;546;;550;;555;;562;;566;;570
Poland;476;;492;;510;;526;;546;;571;;593;;617;;642;;664
Portugal;447;;406;;415;;453;;457;;470;;492;;514;;530;;540
Romania;216;;224;;235;;247;;261;;279;;307;;332;;357;;379
Slovenia;519;;518;;518;;518;;523;;531;;541;;549;;556;;555
Slovakia;324;;337;;347;;360;;375;;390;;408;;426;;439;;447
Finland;551;;560;;570;;580;;590;;604;;617;;629;;642;;652
Sweden;464;;465;;466;;470;;474;;477;;479;;476;;473;;476
Iceland;:;;:;;:;;:;;:;;:;;738;;749;;741;;731
Liechtenstein;749;;760;;757;;762;;766;;773;;779;;780;;781;;779
Norway;477;;484;;489;;495;;501;;506;;514;;516;;522;;544
Switzerland;523;e;529;;531;;532;;535;;537;;539;;539;;537;;537
United Kingdom;448;d;449;d;:;;:;;463;;469;;471;;473;;:;;:
Montenegro;:;;:;;:;;:;;:;;297;;310;;332;;350;;:
North Macedonia;152;;146;;168;;180;;185;;190;;194;;200;;205;;207
Albania;:;;:;;:;;:;;:;;152;;147;;161;;176;;191
Serbia;:;;:;;:;;:;;:;;:;;:;;:;;:;;315
Turkey;109;;114;;121;;127;;134;;142;;149;;151;;150;;157
Bosnia and Herzegovina;192;;:;;:;;:;;:;;:;;:;;:;;:;;:
Kosovo (under United Nations Security Council Resolution 1244/99);:;;:;;:;;:;;:;;:;;94;;143;;174;;:
